transaction_id,timestamp,amount,currency,sender_acc,receiver_acc
4bd440a5,2026-05-01 21:51,5901.68,RUB,ACC_5105,ACC_8961
77e2b658,2026-05-01 21:51,4260.74,EUR,ACC_8923,ACC_1956
8618e580,2026-05-01 21:51,42992.53,USD,ACC_6240,ACC_8501
33d67881,2026-05-01 21:51,27170.95,USD,ACC_1009,ACC_3195
2ee4c14b,2026-05-01 21:51,3499.86,USD,ACC_6807,ACC_9597
13798544,2026-05-01 21:51,17287.20,USD,ACC_5842,ACC_2503
11649924,2026-05-01 21:51,9943.23,EUR,ACC_1151,ACC_8666
2ac95432,2026-05-01 21:51,24329.25,RUB,ACC_3733,ACC_8408
36538e5e,2026-05-01 21:51,12423.58,EUR,ACC_2535,ACC_3711
c171682b,2026-05-01 21:51,35495.46,USD,ACC_2875,ACC_9370
78e861ca,2026-05-01 21:51,987.01,USD,ACC_1030,ACC_3990
3779a57f,2026-05-01 21:51,11862.61,RUB,ACC_3042,ACC_9267
61eba0fa,2026-05-01 21:51,852.07,EUR,ACC_9877,ACC_1132
f177fdbc,2026-05-01 21:51,35833.43,EUR,ACC_3019,ACC_8094
9a9e4e88,2026-05-01 21:51,44063.91,EUR,ACC_8576,ACC_2121
bb1758a5,2026-05-01 21:51,7452.51,USD,ACC_3308,ACC_3604
52d14a86,2026-05-01 21:51,38736.11,RUB,ACC_5008,ACC_2992
7581322f,2026-05-01 21:51,8149.69,EUR,ACC_3455,ACC_9093
25a36e40,2026-05-01 21:51,25020.04,USD,ACC_1663,ACC_1265
d90fe311,2026-05-01 21:51,39025.08,EUR,ACC_5928,ACC_8524
85c69a35,2026-05-01 21:51,34067.97,RUB,ACC_7194,ACC_2772
621edc2b,2026-05-01 21:51,10907.93,EUR,ACC_9786,ACC_4670
75c691c4,2026-05-01 21:51,16407.35,USD,ACC_9380,ACC_6270
e6328c03,2026-05-01 21:51,49325.26,USD,ACC_7707,ACC_1051
cb34d2e3,2026-05-01 21:51,28340.77,EUR,ACC_1135,ACC_1806
0df3d82b,2026-05-01 21:51,48141.88,USD,ACC_1196,ACC_9148
57ac68a9,2026-05-01 21:51,48236.12,EUR,ACC_7178,ACC_7680
7876550f,2026-05-01 21:51,47055.50,RUB,ACC_5859,ACC_7430
e0bc43c6,2026-05-01 21:51,17757.77,EUR,ACC_3267,ACC_9227
e4aa67d2,2026-05-01 21:51,547.47,EUR,ACC_4393,ACC_9997
aa8ec125,2026-05-01 21:51,11299.95,USD,ACC_5636,ACC_5393
52f91159,2026-05-01 21:51,13708.56,EUR,ACC_4444,ACC_7709
0462d6f4,2026-05-01 21:51,21795.79,USD,ACC_5680,ACC_7039
09b542dc,2026-05-01 21:51,42276.75,EUR,ACC_6076,ACC_2640
79660407,2026-05-01 21:51,16069.07,RUB,ACC_8123,ACC_3245
da41388a,2026-05-01 21:51,10936.38,RUB,ACC_8496,ACC_1388
44044b7d,2026-05-01 21:51,28132.37,RUB,ACC_9974,ACC_6480
1b483000,2026-05-01 21:51,23360.32,USD,ACC_4278,ACC_7786
9915867a,2026-05-01 21:51,24532.54,USD,ACC_9143,ACC_7118
62959260,2026-05-01 21:51,26402.98,USD,ACC_7492,ACC_1307
7ba3f895,2026-05-01 21:51,37310.90,USD,ACC_8582,ACC_5166
a2240266,2026-05-01 21:51,7602.59,USD,ACC_9018,ACC_9497
29a4e8c2,2026-05-01 21:51,40783.03,USD,ACC_5035,ACC_8589
80b54577,2026-05-01 21:51,26393.07,EUR,ACC_8937,ACC_3516
1c2511ec,2026-05-01 21:51,37408.23,EUR,ACC_9933,ACC_7107
3833b93a,2026-05-01 21:51,42208.79,RUB,ACC_6210,ACC_4285
